Question,Answer,Difficulty
What is linear regression? When do we use it?,Linear regression is a model that assumes a linear relationship between the input variables (X) and the single output variable (y).,easy
What’s the normal distribution? Why do we care about it?,The normal distribution is a continuous probability distribution whose probability density function takes the following formula:,easy
How do we check if a variable follows the normal distribution? ‍,"1. Plot a histogram out of the sampled data. If you can fit the bell-shaped normal curve to the histogram, then the hypothesis that the underlying random variable follows the normal distribution can not be rejected.",medium
What if we want to build a model for predicting prices? Are prices distributed normally? Do we need to do any pre-processing for prices? ‍,"Data is not normal. Specially, real-world datasets or uncleaned datasets always have certain skewness. Same goes for the price prediction. Price of houses or any other thing under consideration depends on a number of factors. So, theres a great chance of presence of some skewed values i.e outliers if we talk in data science terms.",medium
What methods for solving linear regression do you know? ‍,"To solve linear regression, you need to find the coefficients which minimize the sum of squared errors.",medium
What is gradient descent? How does it work? ‍,"Gradient descent is an algorithm that uses calculus concept of gradient to try and reach local or global minima. It works by taking the negative of the gradient in a point of a given function, and updating that point repeatedly using the calculated negative gradient, until the algorithm reaches a local or global minimum, which will cause future iterations of the algorithm to return values that are equal or too close to the current point. It is widely used in machine learning applications.",medium
What is the normal equation? ‍,Normal equations are equations obtained by setting equal to zero the partial derivatives of the sum of squared errors (least squares); normal equations allow one to estimate the parameters of a multiple linear regression.,medium
What is SGD — stochastic gradient descent? What’s the difference with the usual gradient descent? ‍,"In both gradient descent (GD) and stochastic gradient descent (SGD), you update a set of parameters in an iterative manner to minimize an error function.",medium
Which metrics for evaluating regression models do you know?,1. Mean Squared Error(MSE),easy
What are MSE and RMSE?,MSE stands for Mean Square Error while RMSE stands for Root Mean Square Error. They are metrics with which we can evaluate models.,easy
What is the bias-variance trade-off?,"**Bias** is the error introduced by approximating the true underlying function, which can be quite complex, by a simpler model. **Variance** is a model sensitivity to changes in the training dataset.",easy
How to validate your models?,"One of the most common approaches is splitting data into train, validation and test parts.",easy
"Why do we need to split our data into three parts: train, validation, and test?","The training set is used to fit the model, i.e. to train the model with the data. The validation set is then used to provide an unbiased evaluation of a model while fine-tuning hyperparameters. This improves the generalization of the model. Finally, a test data set which the model has never seen before should be used for the final evaluation of the model. This allows for an unbiased evaluation of the model. The evaluation should never be performed on the same data that is used for training. Otherwise the model performance would not be representative.",easy
