Question,Answer,Difficulty
[Time series](#time-series),<br/>,
What is supervised machine learning?,"Supervised learning is a type of machine learning in which our algorithms are trained using well-labeled training data, and machines predict the output based on that data. Labeled data indicates that the input data has already been tagged with the appropriate output. Basically, it is the task of learning a function that maps the input set and returns an output. Some of its examples are: Linear Regression, Logistic Regression, KNN, etc.",easy
<br/>,## Linear regression,
What is regression? Which models can you use to solve a regression problem?,Regression is a part of supervised ML. Regression models investigate the relationship between a dependent (target) and independent variable (s) (predictor).,easy
Here are some common regression models,- *Linear Regression* establishes a linear relationship between target and predictor (s). It predicts a numeric value and has a shape of a straight line.,
- Lasso Regression penalizes the absolute values of regression coefficients and allows some of the coefficients to reach absolute zero (thereby allowing feature selection).,<br/>,
What is linear regression? When do we use it?,Linear regression is a model that assumes a linear relationship between the input variables (X) and the single output variable (y).,easy
With a simple equation:,```,
```,"B is regression coefficients, x values are the independent (explanatory) variables  and y is dependent variable.",
"The case of one explanatory variable is called simple linear regression. For more than one explanatory variable, the process is called multiple linear regression.",Simple linear regression:,
```,Multiple linear regression:,
```,<br/>,
What are the main assumptions of linear regression?,"There are several assumptions of linear regression. If any of them is violated, model predictions and interpretation may be worthless or misleading.",
"3. Errors are normally distributed, otherwise some features will have more influence on the target variable than to others. If the error distribution is significantly non-normal, confidence intervals may be too wide or too narrow.",<br/>,
What’s the normal distribution? Why do we care about it?,The normal distribution is a continuous probability distribution whose probability density function takes the following formula:,easy
![formula](https://mathworld.wolfram.com/images/equations/NormalDistribution/NumberedEquation1.gif),where μ is the mean and σ is the standard deviation of the distribution.,
"The normal distribution derives its importance from the Central Limit Theorem, which states that if we draw a large enough number of samples, their mean will follow a normal distribution regardless of the initial distribution of the sample, i.e the distribution of the mean of the samples is normal. It is important that each sample is independent from the other.",This is powerful because it helps us study processes whose population distribution is unknown to us.,
How do we check if a variable follows the normal distribution?,"1. Plot a histogram out of the sampled data. If you can fit the bell-shaped ""normal"" curve to the histogram, then the hypothesis that the underlying random variable follows the normal distribution can not be rejected.",medium
4. Check for Quantile-Quantile plot. It is a scatterplot created by plotting two sets of quantiles against one another. Normal Q-Q plot place the data points in a roughly straight line.,<br/>,
What if we want to build a model for predicting prices? Are prices distributed normally? Do we need to do any pre-processing for prices?,"Data is not normal. Specially, real-world datasets or uncleaned datasets always have certain skewness. Same goes for the price prediction. Price of houses or any other thing under consideration depends on a number of factors. So, there's a great chance of presence of some skewed values i.e outliers if we talk in data science terms.",medium
"Yes, you may need to do pre-processing. Most probably, you will need to remove the outliers to make your distribution near-to-normal.",<br/>,
What methods for solving linear regression do you know?,"To solve linear regression, you need to find the coefficients <img src=""https://render.githubusercontent.com/render/math?math=\beta""> which minimize the sum of squared errors.",medium
